STATEFP,State,County,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr,n_private4yr,dsug_private4yr,gr_private4yr,avgtf_private4yr
01,AL,01001,812,2045268,517319,15965,287,1319190.0,189071.0,6713.0,524,726078.0,328248.0,32807.0,421,1401174.0,517319.0,20518.0,390,644094.0,0.0,6060.0,127,798532.0,189071.0,9097.0,294,602642.0,328248.0,35672.0
01,AL,01003,931,2158675,639576,19332,255,1297982.0,222115.0,9232.0,675,860693.0,417461.0,34797.0,493,1571930.0,639576.0,23129.0,437,586745.0,0.0,9251.0,102,849199.0,222115.0,10932.0,391,722731.0,417461.0,37651.0
01,AL,01005,1065,2637651,775819,19260,314,1617326.0,255176.0,8265.0,750,1020325.0,520643.0,36908.0,552,1873496.0,775819.0,23816.0,512,764155.0,0.0,8185.0,128,1011638.0,255176.0,10072.0,424,861858.0,520643.0,40146.0
01,AL,01007,573,1446791,328367,16510,204,924894.0,163514.0,8605.0,367,521897.0,164853.0,30862.0,288,1074975.0,328367.0,19721.0,283,371816.0,0.0,7349.0,86,624627.0,163514.0,10357.0,202,450348.0,164853.0,33072.0
01,AL,01009,565,1608984,452771,17185,211,857719.0,125037.0,7610.0,352,751265.0,327734.0,28050.0,302,1241736.0,452771.0,20166.0,261,367248.0,0.0,7136.0,82,551752.0,125037.0,9079.0,220,689984.0,327734.0,28941.0
01,AL,01011,683,1968831,486113,15543,248,1169011.0,182224.0,8018.0,435,799820.0,303889.0,26748.0,337,1541149.0,486113.0,17787.0,346,427682.0,0.0,7527.0,104,820413.0,182224.0,9263.0,233,720736.0,303889.0,27679.0
01,AL,01013,1010,2939121,791741,16101,310,1725760.0,266251.0,8263.0,697,1213361.0,525490.0,27257.0,505,1990267.0,791741.0,20393.0,502,948854.0,0.0,7092.0,113,950790.0,266251.0,11424.0,392,1039477.0,525490.0,28590.0
01,AL,01015,714,1716247,484060,17822,254,1022699.0,199536.0,8655.0,456,693548.0,284524.0,31637.0,342,1297292.0,484060.0,21203.0,368,418955.0,0.0,7429.0,84,685561.0,199536.0,10454.0,258,611731.0,284524.0,33509.0
01,AL,01017,966,2469784,746346,19396,267,1307119.0,232734.0,8628.0,693,1162665.0,513612.0,31656.0,511,1851698.0,746346.0,23158.0,449,618086.0,0.0,8182.0,107,820278.0,232734.0,10656.0,404,1031420.0,513612.0,33233.0
01,AL,01019,627,1697604,391512,13114,235,1131685.0,189678.0,8114.0,390,565919.0,201834.0,23120.0,285,1158021.0,391512.0,15942.0,340,539583.0,0.0,7040.0,85,673920.0,189678.0,10240.0,200,484101.0,201834.0,23881.0
