MAPNAME,LATITUDE,LONGITUD,ICLEVEL,CONTROL,Degree-seeking Undergraduates,Graduate Students,Tuition & Fees
Central Alabama Community College -Alexander City Campus,32.931757,-85.949385,2,1,322,,4920
Central Alabama Community College -Childersburg Campus,33.278206,-86.359813,2,1,322,,4920
Central Alabama Community College -Prattville Campus,32.504842,-86.431238,2,1,322,,4920
Central Alabama Community College -Talladega Center,33.420481,-86.100849,2,1,322,,4920
Enterprise State Community College -Enterprise,31.297701,-85.842453,2,1,855,,4860
"Enterprise State Community College -Ozark,",31.484559,-85.686047,2,1,855,,4860
Gadsden State Community College - Ayers Campus,33.624092,-85.803339,2,1,959,,5248
Gadsden State Community College - East Broad Campus,33.998922,-85.987771,2,1,959,,5248
Gadsden State Community College - Valley Street Campus,34.026104,-85.994613,2,1,959,,5248
Gadsden State Community College - Wallace Drive Campus,33.997425,-85.991335,2,1,959,,5248
Gadsden State Community College - Cherokee Campus,34.163571,-85.663854,2,1,959,,5248
Jefferson State Community College - Chilton-Clanton Campus,32.868573,-86.621475,2,1,2100,,4920
Jefferson State Community College - Shelby-Hoover Campus,33.385526,-86.73354,2,1,2100,,4920
Jefferson State Community College - St. Clair-Pell City Campus,33.592484,-86.325995,2,1,2100,,4920
Jefferson State Community College - Jefferson Campus,33.653453,-86.707008,2,1,2100,,4920
John C Calhoun State Community College - Decatur Campus,34.648532,-86.950281,2,1,4404,,4940
John C Calhoun State Community College - Huntsville Campus,34.715667,-86.655764,2,1,4404,,4940
Troy University - Main Campus,31.797823,-85.952874,1,1,3676,1378,9312
Troy University - Montgomery Campus,32.37623,-86.310726,1,1,3676,1378,9312
Troy University - Phenix City Campus,32.495317,-85.024588,1,1,3676,1378,9312
Troy University - Main Campus,31.148124,-85.371845,1,1,3676,1378,9312
University of Alaska-Anchorage,61.190647,-149.818152,1,1,1989,173,8750
University of Alaska -Kenai River Campus,60.486115,-151.127993,1,1,1989,173,8750
University of Alaska -KODIAK COLLEGE,57.806866,-152.366182,1,1,1989,173,8750
University of Alaska -Mat-Su College,61.579472,-149.240474,1,1,1989,173,8750
University of Alaska -Prince William Sound College,61.134073,-146.356421,1,1,1989,173,8750
Arizona State University Campus Immersion - Polytechnic,33.307073,-111.680435,1,1,13581,2777,11348
Arizona State University Campus Immersion - Tempe (Main) Campus,33.401395,-111.931298,1,1,13581,2777,11348
Arizona State University Campus Immersion - West,33.607333,-112.159897,1,1,13581,2777,11348
Arizona State University Campus Immersion - Lake Havasu,34.472673,-114.322223,1,1,13581,2777,11348
Arizona State University Campus Immersion - Downtown Phoenix,33.452998,-112.073225,1,1,13581,2777,11348
Arizona Western College - Main,32.691174,-114.62926,2,1,2094,,2700
Arizona Western College - San Luis Learning Center,32.224806,-110.951337,2,1,2094,,2700
Arizona Western College - Parker Learning Center,34.15052,-114.285589,2,1,2094,,2700
Arizona Western College - Quartzite Learning Center,33.67462,-114.234074,2,1,2094,,2700
University of Arizona - Sierra Vista,31.567474,-110.245391,1,1,4824,1496,12404
University of Arizona - Douglas,31.365493,-109.689354,1,1,4824,1496,12404
University of Arizona -Tucson Pima East,32.89618,-109.82758,1,1,4824,1496,12404
University of Arizona - Tucson Pima Desert Vista,32.145122,-110.989257,1,1,4824,1496,12404
University of Arizona - Chandler,33.303087,-111.839058,1,1,4824,1496,12404
University of Arizona -Nogales,31.368457,-110.93235,1,1,4824,1496,12404
University of Arizona -Yuma,32.68432,-114.497852,1,1,4824,1496,12404
University of Arizona -Gilbert,33.356618,-111.792255,1,1,4824,1496,12404
Central Arizona College - San Tan Campus,33.165055,-111.524052,2,1,1251,,2580
Central Arizona College - Signal Peak Campus,32.952981,-111.652954,2,1,1251,,2580
Central Arizona College - Aravaipa Campus,32.84875,-110.703064,2,1,1251,,2580
Central Arizona College - Maricopa Campus,33.042415,-112.003381,2,1,1251,,2580
Central Arizona College - Superstition Mountain Campus,33.410208,-111.543119,2,1,1251,,2580
Cochise County Community College District - Douglas Campus,31.365493,-109.689354,2,1,4579,,2184
Cochise County Community College District - Sierra Vista Campus,31.563152,-110.247369,2,1,4579,,2184
Eastern Arizona College - Thatcher Campus,32.84344,-109.762901,2,1,2058,,2160
Eastern Arizona College - Discovery Park Campus,32.802195,-109.728311,2,1,2058,,2160
Glendale Community College - North Campus,33.709731,-112.186915,2,1,7242,,2070
Glendale Community College - Main Campus,33.568837,-112.190886,2,1,7242,,2070
Grand Canyon University - Phoenix Main campus,33.513085,-112.129939,1,3,18438,12385,17189
Grand Canyon University - West Phoenix,33.60559,-112.284817,1,3,18438,12385,17189
Grand Canyon University - Tuscan,32.270989,-110.943243,1,3,18438,12385,17189
Grand Canyon University - Nevada,36.022396,-115.096502,1,3,18438,12385,17189
Grand Canyon University -Utah,40.571991,-111.893917,1,3,18438,12385,17189
GateWay Community College - Washington Campus,33.451215,-111.995464,2,1,1330,,2070
GateWay Community College - Deer Valley Campus,33.638628,-112.122872,2,1,1330,,2070
GateWay Community College - Central City Campus,33.435571,-112.05539,2,1,1330,,2070
GateWay Community College - 18th St Campus,33.453282,-112.042288,2,1,1330,,2070
Mesa Community College - Southern and Dobson Campus,33.39283,-111.871537,2,1,8648,,2070
Mesa Community College - Red Mountain Campus,33.451724,-111.677552,2,1,8648,,2070
