,State,Federal_Borrowers,Federal_Eligible_Borrowers,Pell_Eligible,Pell_Eligible_Share,NonPell_Eligible,NonPell_Eligible_Share,AvgRelief_Eligible_Borrowers,AvgRelief_Eligible_Borrowers_rankNat,Max_Cancelled_in_k,Total_Borrowers,Eligible_Share,AvgRelief_Across_Borrowers,AvgRelief_Across_Borrowers_rankNat,avg_bal_pre,avg_bal_post,avg_bal_post_rankNat,med_bal_pre,med_bal_post,med_bal_post_rankNat,Max_Cancelled_in_b
0,AK,67100.0,60500.0,37300.0,0.616528925619835,23200.0,0.383471074380165,16165.2892561983,31.0,978000.0,71005.0,0.852049180327869,13773.6214605067,43.0,29960.8357457521,16187.21,33.0,15326.0,1552.38,42.0,0.978
1,AL,629100.0,588000.0,404900.0,0.688605442176871,183100.0,0.311394557823129,16886.0544217687,15.0,9929000.0,665714.0,0.883261802575107,14914.8068669528,11.0,32714.1975747777,17799.39,28.0,18558.0,3643.19,29.0,9.929
2,AP,,,,,,,,,,,,,,35394.292,,,17849.0,,,
3,AR,387700.0,365600.0,269000.0,0.735776805251641,96600.0,0.264223194748359,17357.7680525164,5.0,6346000.0,410265.0,0.891132318803198,15468.068093887,3.0,28259.0742235265,12791.01,47.0,15708.5,240.43,47.0,6.346
4,AS,2174.0,2000.0,1500.0,0.75,500.0,0.25,17500.0,3.0,35000.0,2300.0,0.8694,15214.5,5.0,36065.0952380952,20850.6,17.0,31521.0,16306.5,1.0,0.035
5,AZ,886000.0,810800.0,554900.0,0.684385791810558,255900.0,0.315614208189443,16843.8579181056,17.0,13657000.0,937566.0,0.864792325056433,14566.4390519187,26.0,30658.0355195682,16091.6,34.0,15888.0,1321.56,43.0,13.657
6,CA,3903700.0,3549300.0,2340600.0,0.659453976840504,1208700.0,0.340546023159496,16594.539768405,23.0,58899000.0,4130899.0,0.859207546686477,14258.1538028025,33.0,34433.6328200686,20175.48,20.0,16814.0,2555.85,39.0,58.899
7,CO,770100.0,698100.0,419000.0,0.600200544334623,279100.0,0.399799455665377,16002.0054433462,37.0,11171000.0,814921.0,0.856647837943124,13708.0833657966,44.0,33474.2347621341,19766.15,21.0,19023.0,5314.92,22.0,11.171
8,CT,494600.0,454200.0,238200.0,0.52443857331572,216000.0,0.47556142668428,15244.3857331572,51.0,6924000.0,523386.0,0.867810351799434,13229.2357460574,52.0,37763.8997625956,24534.66,6.0,22013.0,8783.76,8.0,6.924
9,DC,117200.0,105600.0,60300.0,0.571022727272727,45300.0,0.428977272727273,15710.2272727273,46.0,1659000.0,124021.0,0.851467576791809,13376.7491467577,49.0,57292.4454214676,43915.7,1.0,28092.5,14715.75,2.0,1.659
10,DE,127900.0,116900.0,68000.0,0.58169375534645,48900.0,0.41830624465355,15816.9375534645,43.0,1849000.0,135344.0,0.863725566849101,13661.493354183,45.0,37041.4029038113,23379.91,9.0,20790.0,7128.51,13.0,1.849
