STATEFP,State,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr,n_private4yr,dsug_private4yr,gr_private4yr,avgtf_private4yr
01,AL,98,257467,60201,10897,53,217656,53277,8663,45,39811,6924,23113,44,176113,60201,13278,54,81354,0,5744,17,142918,53277,10625,27,33195,6924,24702
02,AK,12,18566,2633,9121,9,17532,2433,8658,3,1034,200,16971,9,17095,2633,9107,3,1471,0,9282,8,16731,2433,8853,1,364,200,20760
04,AZ,170,516525,117417,10439,98,293505,29657,6430,72,223020,87760,15738,67,323612,117417,13568,103,192913,0,5153,38,130691,29657,11530,29,192921,87760,14949
05,AR,94,153538,28932,10414,43,113606,25207,7008,51,39932,3725,20103,40,102812,28932,12357,54,50726,0,6477,14,74514,25207,8610,26,28298,3725,22222
06,CA,655,2865979,336485,7932,237,2458948,132248,3731,417,407031,204237,33305,267,1285195,336369,14196,387,1580784,116,2834,65,999323,132132,7288,202,285872,204237,38346
08,CO,95,335493,76040,12014,53,229976,49007,8686,42,105517,27033,19129,58,285445,76040,11859,37,50048,0,12883,43,207656,49007,9019,15,77789,27033,19282
09,CT,188,370766,124413,30931,21,89428,15277,10451,167,281338,109136,37360,109,287892,124413,35928,79,82874,0,13639,10,52133,15277,14767,99,235759,109136,40508
10,DE,75,143978,67174,31697,8,42070,5717,9880,67,101908,61457,42138,51,131145,67174,32685,24,12833,0,22545,7,41398,5717,10020,44,89747,61457,45044
11,DC,61,85081,60648,32004,1,3929,638,6152,60,81152,60010,33259,35,75853,60648,33523,26,9228,0,19241,1,3929,638,6152,34,71924,60010,35018
12,FL,360,1124549,166039,10183,149,807203,93045,4219,210,317346,72994,25387,184,967670,166039,9516,175,156879,0,14316,99,742536,93045,4275,85,225134,72994,26802
13,GA,200,531680,109742,10818,95,410897,77466,6110,105,120783,32276,26834,92,377713,109742,12750,108,153967,0,6078,40,285328,77466,7401,52,92385,32276,29270
15,HI,21,51335,7436,9365,10,41215,6027,6920,11,10120,1409,19325,10,31397,7436,12532,11,19938,0,4379,4,22575,6027,9968,6,8822,1409,19092
16,ID,36,131127,15958,9018,9,56501,11333,6840,27,74626,4625,10668,15,112333,15958,9258,21,18794,0,7586,5,42308,11333,7629,10,70025,4625,10242
17,IL,294,634333,209644,20131,95,368472,64440,11598,198,265861,145204,31998,137,374300,209644,26596,156,260033,0,10783,18,136014,64440,14746,119,238286,145204,33361
18,IN,258,532101,185608,18945,70,295517,66369,8424,188,236584,119239,32135,125,425391,185608,21624,133,106710,0,8178,18,216113,66369,9815,107,209278,119239,33822
19,IA,109,192618,43273,16213,32,117693,16396,7584,77,74925,26877,29766,67,131959,43273,20911,42,60659,0,5992,3,59476,16396,9668,64,72483,26877,30137
20,KS,129,180524,42423,10445,68,143339,29094,6655,61,37185,13329,25054,60,107583,42423,13972,69,72941,0,5243,16,77171,29094,8898,44,30412,13329,26848
21,KY,152,222538,75908,13962,47,152554,32003,8481,105,69984,43905,25948,76,148074,75908,17340,76,74464,0,7230,14,91725,32003,11108,62,56349,43905,27491
22,LA,129,233546,48513,11999,57,182697,37106,7627,72,50849,11407,27706,37,144966,48513,14905,92,88580,0,7242,15,115935,37106,9585,22,29031,11407,36150
23,ME,35,53892,12898,18384,15,35660,6173,8168,20,18232,6725,38374,21,38923,12898,23429,14,14969,0,5268,7,22315,6173,10740,14,16608,6725,40487
24,MD,159,432975,162234,17206,40,288169,50028,8578,118,144806,112206,34251,84,292656,162234,21182,74,140319,0,9047,15,168290,50028,9335,69,124366,112206,36888
25,MA,178,585346,228583,27487,43,173504,37813,10303,135,411842,190770,34726,105,492195,228583,31124,73,93151,0,8267,13,98083,37813,13936,92,394112,190770,35402
26,MI,178,487813,91457,14979,78,390407,71516,11057,100,97406,19941,30704,75,325633,91457,18402,103,162180,0,8106,32,251930,71516,13705,43,73703,19941,34466
27,MN,106,260904,55973,15991,50,187480,28146,8894,56,73424,27827,34111,55,162534,55973,21921,51,98370,0,6193,12,92803,28146,12058,43,69731,27827,35046
28,MS,77,186507,31788,8986,37,145906,20067,5988,40,40601,11721,19760,29,92104,31788,12508,48,94403,0,5551,9,65569,20067,8918,20,26535,11721,21377
29,MO,173,279405,88898,14494,66,180066,34436,7963,107,99339,54462,26354,102,189885,88898,18163,71,89520,0,6694,24,98971,34436,9839,78,90914,54462,27225
30,MT,26,41794,7365,8517,18,37818,6818,6702,8,3976,547,25785,13,34805,7365,9217,13,6989,0,5034,9,31684,6818,7129,4,3121,547,30419
31,NE,44,109651,36121,11696,21,76052,18082,6706,23,33599,18039,22993,26,80307,36121,14616,18,29344,0,3706,7,47570,18082,8751,19,32737,18039,23139
32,NV,40,139458,25118,9096,9,103900,10833,6018,31,35558,14285,18378,18,126197,25118,8180,22,13261,0,18605,9,103900,10833,6018,9,22297,14285,18255
33,NH,70,292937,134930,25850,13,34090,5038,13342,57,258847,129892,27497,42,275897,134930,26773,28,17040,0,10898,5,23136,5038,16293,37,252761,129892,27732
34,NJ,421,745987,280468,26911,54,295705,48736,11196,367,450282,231732,37595,228,534771,280468,32865,193,211216,0,12168,13,160818,48736,14387,215,373953,231732,41126
35,NM,63,115105,17978,7288,38,97717,14937,4150,25,17388,3041,24927,25,52020,17978,11718,38,63085,0,3636,13,40834,14937,7308,12,11186,3041,27818
36,NY,482,1104862,299079,21717,124,591539,85134,7382,358,513323,213945,38152,280,801282,299079,26555,202,303580,0,8990,60,360112,85134,8418,220,441170,213945,41188
37,NC,213,557743,105863,11226,95,418427,59975,4813,118,139316,45888,30486,98,322118,105863,16548,115,235625,0,3951,17,201887,59975,7266,81,120231,45888,32133
38,ND,31,44694,10588,10828,14,35614,8024,8817,17,9080,2564,18716,23,39663,10588,11388,8,5031,0,6410,9,31031,8024,9317,14,8632,2564,18833
39,OH,301,650189,110876,14335,108,465304,69953,8351,192,184885,40923,29407,152,462957,110876,17067,148,187232,0,7562,51,318006,69953,9972,101,144951,40923,32638
40,OK,103,203876,33001,9579,58,171818,25960,6351,45,32058,7041,26875,40,123827,33001,12410,63,80049,0,5199,18,99136,25960,8071,22,24691,7041,29828
41,OR,81,212621,33449,12979,37,177731,23573,8454,44,34890,9876,36176,32,117199,33449,18663,49,95422,0,5981,9,88075,23573,11696,23,29124,9876,39732
42,PA,324,647223,211005,24563,72,341593,61618,12906,251,305630,149387,38179,160,482053,211005,28861,163,165170,0,12345,25,221723,61618,14775,135,260330,149387,41489
44,RI,47,102968,17436,33449,9,37426,4639,10130,38,65542,12797,46765,31,82584,17436,39717,16,20384,0,8055,5,21522,4639,13936,26,61062,12797,48804
45,SC,128,261128,50273,15838,47,176583,29225,9779,81,84545,21048,28494,67,182676,50273,19505,61,78452,0,7302,17,109257,29225,12339,50,73419,21048,30169
46,SD,31,44152,12692,13758,17,33537,7799,8599,14,10615,4893,30056,24,36858,12692,14963,7,7294,0,7665,12,26570,7799,8916,12,10288,4893,30582
47,TN,184,317045,81061,13730,75,206809,31046,7756,109,110236,50015,25062,75,205856,81061,17462,109,111189,0,6746,10,116016,31046,10290,65,89840,50015,26723
48,TX,450,1591010,240240,10002,205,1379605,188596,7141,245,211405,51644,28719,201,1087455,240240,11549,249,503555,0,6658,111,951645,188596,8293,90,135810,51644,34369
49,UT,85,245394,33507,8442,47,170560,16958,6336,37,74834,16549,13253,47,196039,33507,9154,37,49355,0,5616,34,128739,16958,7149,13,67300,16549,12999
50,VT,32,52587,14076,38056,16,20180,4114,15233,16,32407,9962,52269,18,47835,14076,41054,14,4752,0,7878,4,15980,4114,17418,14,31855,9962,52912
51,VA,202,543992,207324,16784,57,322027,60657,10331,144,221965,146667,26158,108,391555,207324,20700,93,152437,0,6710,15,187507,60657,14018,93,204048,146667,26843
53,WA,139,314476,48312,12418,74,258623,31631,7312,65,55853,16681,36158,95,284058,48312,12654,44,30418,0,10201,63,240416,31631,7526,32,43642,16681,40906
54,WV,76,105774,33626,17076,27,60804,15609,7673,49,44970,18017,29805,47,88782,33626,18902,29,16992,0,7539,14,48741,15609,8407,33,40041,18017,31695
55,WI,149,331477,72936,15554,49,227146,29794,7305,100,104331,43142,33515,86,244464,72936,19003,63,87013,0,5865,15,148584,29794,8735,71,95880,43142,34916
56,WY,14,23159,2880,5441,13,22402,2880,4696,1,757,0,27500,10,16612,2880,4937,4,6547,0,6719,10,16612,2880,4937,No Campuses within 45 minutes,,,
66,GU,3,5502,412,5150,2,5364,412,5115,1,138,0,6482,3,5502,412,5150,No Campuses within 45 minutes,,,,2,5364,412,5115,1,138,0,6482
