STATEFP,State,ZCTA,n_allschools,dsug_allschools,gr_allschools,avgtf_allschools,n_public,dsug_public,gr_public,avgtf_public,n_private,dsug_private,gr_private,avgtf_private,n_4yr,dsug_4yr,gr_4yr,avgtf_4yr,n_not4yr,dsug_not4yr,gr_not4yr,avgtf_not4yr,n_public4yr,dsug_public4yr,gr_public4yr,avgtf_public4yr
01,AL,35004,14,34350,13432,12260,5,21694,10652,7454,9,12656,2780,20499,7,26351,13432,14020,7,7999,0,6463,1,15072,10652,8568
01,AL,35005,13,37299,13414,11367,5,26023,10652,7060,8,11276,2762,21308,6,24971,13414,14028,7,12328,0,5978,1,15072,10652,8568
01,AL,35006,11,32066,13414,12391,3,20790,10652,7554,8,11276,2762,21308,6,24971,13414,14028,5,7095,0,6629,1,15072,10652,8568
01,AL,35007,13,36631,13898,12051,5,25355,11136,7935,8,11276,2762,21308,7,27436,13898,13999,6,9195,0,6239,2,17537,11136,9291
01,AL,35010,3,5129,0,4868,3,5129,0,4868,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,3,5129,0,4868,No Campuses within 45 minutes,,,
01,AL,35013,1,2100,0,4920,1,2100,0,4920,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,1,2100,0,4920,No Campuses within 45 minutes,,,
01,AL,35014,5,4446,18,7703,4,3066,0,4920,1,1380,18,13886,1,1380,18,13886,4,3066,0,4920,No Campuses within 45 minutes,,,
01,AL,35016,5,13949,1099,7037,4,13819,1099,6989,1,130,0,12150,1,5517,1099,10024,4,8432,0,5082,1,5517,1099,10024
01,AL,35019,1,5444,0,4860,1,5444,0,4860,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,1,5444,0,4860,No Campuses within 45 minutes,,,
01,AL,35020,12,34166,13414,11932,4,22890,10652,7313,8,11276,2762,21308,6,24971,13414,14028,6,9195,0,6239,1,15072,10652,8568
01,AL,35022,13,36631,13898,12051,5,25355,11136,7935,8,11276,2762,21308,7,27436,13898,13999,6,9195,0,6239,2,17537,11136,9291
01,AL,35023,12,34166,13414,11932,4,22890,10652,7313,8,11276,2762,21308,6,24971,13414,14028,6,9195,0,6239,1,15072,10652,8568
01,AL,35031,4,9641,0,5070,3,9511,0,4973,1,130,0,12150,No Campuses within 45 minutes,,,,4,9641,0,5070,No Campuses within 45 minutes,,,
01,AL,35032,3,2024,18,11033,2,644,0,4920,1,1380,18,13886,1,1380,18,13886,2,644,0,4920,No Campuses within 45 minutes,,,
01,AL,35033,2,8577,0,4989,2,8577,0,4989,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,2,8577,0,4989,No Campuses within 45 minutes,,,
01,AL,35034,5,40840,7865,10995,4,40044,7865,10987,1,796,0,11392,3,36225,7865,11757,2,4615,0,5011,2,35429,7865,11765
01,AL,35035,4,6884,484,8293,3,6665,484,8171,1,219,0,12000,1,2465,484,13710,3,4419,0,5271,1,2465,484,13710
01,AL,35036,13,37299,13414,11367,5,26023,10652,7060,8,11276,2762,21308,6,24971,13414,14028,7,12328,0,5978,1,15072,10652,8568
01,AL,35040,13,35309,13898,11955,6,25677,11136,7897,7,9632,2762,22775,6,25792,13898,14081,7,9517,0,6194,2,17537,11136,9291
01,AL,35042,6,42940,7865,10698,5,42144,7865,10685,1,796,0,11392,3,36225,7865,11757,3,6715,0,4983,2,35429,7865,11765
01,AL,35043,13,34853,13898,12415,5,23577,11136,8162,8,11276,2762,21308,7,27436,13898,13999,6,7417,0,6555,2,17537,11136,9291
01,AL,35044,8,12575,2978,16627,5,7309,484,7884,3,5266,2494,28761,3,7512,2978,24311,5,5063,0,5226,1,2465,484,13710
01,AL,35045,8,13832,6561,9912,6,13102,6561,9669,2,730,0,14281,3,10054,6561,11074,5,3778,0,6820,3,10054,6561,11074
01,AL,35046,9,10444,5997,9463,6,9511,5997,8932,3,933,0,14872,2,6141,5997,11077,7,4303,0,7158,2,6141,5997,11077
01,AL,35049,2,7544,0,4877,2,7544,0,4877,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,2,7544,0,4877,No Campuses within 45 minutes,,,
01,AL,35051,13,35309,13898,11955,6,25677,11136,7897,7,9632,2762,22775,6,25792,13898,14081,7,9517,0,6194,2,17537,11136,9291
01,AL,35052,14,34354,13432,12026,6,22653,10652,7361,8,11701,2780,21057,7,26351,13432,14020,7,8003,0,5459,1,15072,10652,8568
01,AL,35053,2,8577,0,4989,2,8577,0,4989,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,2,8577,0,4989,No Campuses within 45 minutes,,,
01,AL,35054,7,22371,10937,8796,5,18775,10652,7865,2,3596,285,13657,3,18668,10937,9548,4,3703,0,5005,1,15072,10652,8568
01,AL,35055,2,9848,0,4896,2,9848,0,4896,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,2,9848,0,4896,No Campuses within 45 minutes,,,
01,AL,35057,3,12981,0,4973,3,12981,0,4973,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,3,12981,0,4973,No Campuses within 45 minutes,,,
01,AL,35058,2,9848,0,4896,2,9848,0,4896,No Campuses within 45 minutes,,,,No Campuses within 45 minutes,,,,2,9848,0,4896,No Campuses within 45 minutes,,,
01,AL,35060,12,34166,13414,11932,4,22890,10652,7313,8,11276,2762,21308,6,24971,13414,14028,6,9195,0,6239,1,15072,10652,8568
01,AL,35061,12,34166,13414,11932,4,22890,10652,7313,8,11276,2762,21308,6,24971,13414,14028,6,9195,0,6239,1,15072,10652,8568
01,AL,35062,11,33099,13414,12185,3,21823,10652,7472,8,11276,2762,21308,6,24971,13414,14028,5,8128,0,6525,1,15072,10652,8568
01,AL,35063,6,28687,10919,8591,3,23649,10652,7270,3,5038,267,14793,4,20110,10919,10128,2,8577,0,4989,1,15072,10652,8568
