State,avg_bal,med_bal,avg_inc,med_inc,avg_dti,med_dti,avg_bal_label,med_bal_label,avg_inc_label,med_inc_label,avg_bal_rankNat,med_bal_rankNat,avg_inc_rankNat,med_inc_rankNat,avg_dti_rankNat,med_dti_rankNat,avg_bal_pctNat,med_bal_pctNat,avg_inc_pctNat,med_inc_pctNat,avg_dti_pctNat,med_dti_pctNat,pct_bal_grt,avg_bal_sh_obal,med_bal_sh_obal,pct_bal_grt_label,avg_bal_sh_obal_label,med_bal_sh_obal_label,pct_bal_grt_rankNat,avg_bal_sh_obal_rankNat,med_bal_sh_obal_rankNat,pct_bal_grt_pctNat,avg_bal_sh_obal_pctNat,med_bal_sh_obal_pctNat,avg_bal_ASIAN,med_bal_ASIAN,avg_inc_ASIAN,med_inc_ASIAN,avg_dti_ASIAN,med_dti_ASIAN,avg_bal_label_ASIAN,med_bal_label_ASIAN,avg_inc_label_ASIAN,med_inc_label_ASIAN,avg_bal_rankNat_ASIAN,med_bal_rankNat_ASIAN,avg_inc_rankNat_ASIAN,med_inc_rankNat_ASIAN,avg_dti_rankNat_ASIAN,med_dti_rankNat_ASIAN,avg_bal_pctNat_ASIAN,med_bal_pctNat_ASIAN,avg_inc_pctNat_ASIAN,med_inc_pctNat_ASIAN,avg_dti_pctNat_ASIAN,med_dti_pctNat_ASIAN,pct_bal_grt_ASIAN,avg_bal_sh_obal_ASIAN,med_bal_sh_obal_ASIAN,pct_bal_grt_label_ASIAN,avg_bal_sh_obal_label_ASIAN,med_bal_sh_obal_label_ASIAN,pct_bal_grt_rankNat_ASIAN,avg_bal_sh_obal_rankNat_ASIAN,med_bal_sh_obal_rankNat_ASIAN,pct_bal_grt_pctNat_ASIAN,avg_bal_sh_obal_pctNat_ASIAN,med_bal_sh_obal_pctNat_ASIAN,avg_bal_BLACK,med_bal_BLACK,avg_inc_BLACK,med_inc_BLACK,avg_dti_BLACK,med_dti_BLACK,avg_bal_label_BLACK,med_bal_label_BLACK,avg_inc_label_BLACK,med_inc_label_BLACK,avg_bal_rankNat_BLACK,med_bal_rankNat_BLACK,avg_inc_rankNat_BLACK,med_inc_rankNat_BLACK,avg_dti_rankNat_BLACK,med_dti_rankNat_BLACK,avg_bal_pctNat_BLACK,med_bal_pctNat_BLACK,avg_inc_pctNat_BLACK,med_inc_pctNat_BLACK,avg_dti_pctNat_BLACK,med_dti_pctNat_BLACK,pct_bal_grt_BLACK,avg_bal_sh_obal_BLACK,med_bal_sh_obal_BLACK,pct_bal_grt_label_BLACK,avg_bal_sh_obal_label_BLACK,med_bal_sh_obal_label_BLACK,pct_bal_grt_rankNat_BLACK,avg_bal_sh_obal_rankNat_BLACK,med_bal_sh_obal_rankNat_BLACK,pct_bal_grt_pctNat_BLACK,avg_bal_sh_obal_pctNat_BLACK,med_bal_sh_obal_pctNat_BLACK,avg_bal_LATINO,med_bal_LATINO,avg_inc_LATINO,med_inc_LATINO,avg_dti_LATINO,med_dti_LATINO,avg_bal_label_LATINO,med_bal_label_LATINO,avg_inc_label_LATINO,med_inc_label_LATINO,avg_bal_rankNat_LATINO,med_bal_rankNat_LATINO,avg_inc_rankNat_LATINO,med_inc_rankNat_LATINO,avg_dti_rankNat_LATINO,med_dti_rankNat_LATINO,avg_bal_pctNat_LATINO,med_bal_pctNat_LATINO,avg_inc_pctNat_LATINO,med_inc_pctNat_LATINO,avg_dti_pctNat_LATINO,med_dti_pctNat_LATINO,pct_bal_grt_LATINO,avg_bal_sh_obal_LATINO,med_bal_sh_obal_LATINO,pct_bal_grt_label_LATINO,avg_bal_sh_obal_label_LATINO,med_bal_sh_obal_label_LATINO,pct_bal_grt_rankNat_LATINO,avg_bal_sh_obal_rankNat_LATINO,med_bal_sh_obal_rankNat_LATINO,pct_bal_grt_pctNat_LATINO,avg_bal_sh_obal_pctNat_LATINO,med_bal_sh_obal_pctNat_LATINO,avg_bal_NATVAM,med_bal_NATVAM,avg_inc_NATVAM,med_inc_NATVAM,avg_dti_NATVAM,med_dti_NATVAM,avg_bal_label_NATVAM,med_bal_label_NATVAM,avg_inc_label_NATVAM,med_inc_label_NATVAM,avg_bal_rankNat_NATVAM,med_bal_rankNat_NATVAM,avg_inc_rankNat_NATVAM,med_inc_rankNat_NATVAM,avg_dti_rankNat_NATVAM,med_dti_rankNat_NATVAM,avg_bal_pctNat_NATVAM,med_bal_pctNat_NATVAM,avg_inc_pctNat_NATVAM,med_inc_pctNat_NATVAM,avg_dti_pctNat_NATVAM,med_dti_pctNat_NATVAM,pct_bal_grt_NATVAM,avg_bal_sh_obal_NATVAM,med_bal_sh_obal_NATVAM,pct_bal_grt_label_NATVAM,avg_bal_sh_obal_label_NATVAM,med_bal_sh_obal_label_NATVAM,pct_bal_grt_rankNat_NATVAM,avg_bal_sh_obal_rankNat_NATVAM,med_bal_sh_obal_rankNat_NATVAM,pct_bal_grt_pctNat_NATVAM,avg_bal_sh_obal_pctNat_NATVAM,med_bal_sh_obal_pctNat_NATVAM,avg_bal_WHITE,med_bal_WHITE,avg_inc_WHITE,med_inc_WHITE,avg_dti_WHITE,med_dti_WHITE,avg_bal_label_WHITE,med_bal_label_WHITE,avg_inc_label_WHITE,med_inc_label_WHITE,avg_bal_rankNat_WHITE,med_bal_rankNat_WHITE,avg_inc_rankNat_WHITE,med_inc_rankNat_WHITE,avg_dti_rankNat_WHITE,med_dti_rankNat_WHITE,avg_bal_pctNat_WHITE,med_bal_pctNat_WHITE,avg_inc_pctNat_WHITE,med_inc_pctNat_WHITE,avg_dti_pctNat_WHITE,med_dti_pctNat_WHITE,pct_bal_grt_WHITE,avg_bal_sh_obal_WHITE,med_bal_sh_obal_WHITE,pct_bal_grt_label_WHITE,avg_bal_sh_obal_label_WHITE,med_bal_sh_obal_label_WHITE,pct_bal_grt_rankNat_WHITE,avg_bal_sh_obal_rankNat_WHITE,med_bal_sh_obal_rankNat_WHITE,pct_bal_grt_pctNat_WHITE,avg_bal_sh_obal_pctNat_WHITE,med_bal_sh_obal_pctNat_WHITE
AK,28979.4292125984,15367.555,38993.2004824634,38261.9579558657,0.785193029706199,0.373192261578581,"$28,979","$15,368","$38,993","$38,262",42,45,14,13,51,52,21st,15th,75th,76th,3rd,1st,0.511420893516963,0.986234407305307,1.00975,51.15%,98.67%,100.98%,38,39,36,28th,26th,32nd,27853.7386666667,14049.95,32477,29423,0.890497913653457,0.477515888930429,"$27,854","$14,050","$32,477","$29,423",22,24,16,16,18,15,12th,4th,37th,37th,29th,41st,0.525,0.9854075,1.00345,52.47%,98.56%,100.32%,16,19,22,37th,25th,12th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,42996.3640909091,10533.645,21839.3856127835,17645.3255752469,1.75028226277249,0.587131552092057,"$42,996","$10,534","$21,839","$17,645",1,7,7,11,1,3,100th,45th,45th,9th,100th,81st,0.537735849056604,1.01998773584906,1.0326,53.79%,101.97%,103.29%,14,12,10,18th,31st,43rd,28361.2270538721,14457.32,39793.0774763521,40023,0.746789769795985,0.365431487469685,"$28,361","$14,457","$39,793","$40,023",45,49,14,12,51,51,13th,5th,74th,78th,1st,1st,0.506317689530686,0.974060608856089,1.0112,50.60%,97.46%,101.09%,36,43,30,31st,17th,43rd
AL,32655.0519431808,19179,31044.685654442,29104.9467889908,1.09605893552263,0.616518632258456,"$32,655","$19,179","$31,045","$29,105",22,20,43,47,11,8,59th,63rd,19th,11th,80th,86th,0.668175256525301,1.078535008033,1.061,66.77%,107.80%,106.15%,6,5,4,90th,92nd,94th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31111.9274942529,19790.28,22725.4530267734,21818,1.44905173267303,0.903222408427101,"$31,112","$19,790","$22,725","$21,818",18,14,31,32,2,3,55th,65th,21st,18th,97th,94th,0.83220590661607,1.16005801132578,1.107,83.27%,116.05%,110.66%,1,2,1,100th,97th,100th,,,,,,,,,,,,,,,,,,,,,,,0.333333333333333,0.975888888888889,0.9734,33.33%,97.57%,97.35%,40,39,40,2nd,5th,2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31970.5489866962,18017.085,33458.8269674631,31473,0.994244402508427,0.559628961421554,"$31,971","$18,017","$33,459","$31,473",30,30,42,45,14,11,43rd,43rd,19th,13th,74th,80th,0.628871681415929,1.05164442198641,1.0524,62.92%,105.16%,105.27%,6,6,5,90th,90th,92nd
AR,28016.6767052784,15469.28,28158.9859539844,26260,0.98296200971477,0.535323305407464,"$28,017","$15,469","$28,159","$26,260",45,44,50,51,24,22,15th,17th,5th,3rd,55th,59th,0.645695576811966,1.05733481049944,1.0504,64.57%,105.71%,105.05%,8,11,10,86th,80th,82nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,21457.4451941748,11959.175,21391.4632772187,20932,1.04216203197677,0.549259696468347,"$21,457","$11,959","$21,391","$20,932",35,34,34,35,31,33,10th,13th,13th,10th,21st,15th,0.825829383886256,1.12349008363202,1.0908,82.61%,112.31%,109.12%,2,17,13,97th,57th,68th,26306.9540909091,12835.98,26433.1818181818,27845,1.00318908304279,0.487247793638236,"$26,307","$12,836","$26,433","$27,845",17,27,22,10,23,32,58th,33rd,46th,76th,43rd,20th,0.521739130434783,0.952089565217391,1.0065,52.14%,95.26%,100.65%,35,40,38,15th,2nd,7th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26482.999432395,14794.95,28819.8430663063,26454.0330718074,0.977128968552246,0.53116467930571,"$26,483","$14,795","$28,820","$26,454",49,47,50,51,18,18,5th,9th,3rd,1st,66th,66th,0.646633141175028,1.04351450362591,1.05685,64.68%,104.39%,105.71%,2,9,3,98th,84th,96th
AZ,30913.9558497912,15532.315,34724.0967360683,33160,0.915881300542446,0.460309249722291,"$30,914","$15,532","$34,724","$33,160",30,43,29,31,39,45,44th,19th,46th,42nd,26th,15th,0.591213936514494,1.03885215349467,1.0327,59.07%,103.84%,103.29%,20,22,23,63rd,59th,57th,37314.1511764706,28800.02,20839.2941176471,23036,1.77567683695563,1.56794533972125,"$37,314","$28,800","$20,839","$23,036",16,2,22,21,4,2,37th,95th,12th,16th,87th,95th,0.867469879518072,1.11054819277108,1.0824,86.79%,111.10%,108.24%,3,3,4,91st,91st,87th,11674.4114285714,7206.45,33309,33309,0.35048819924259,0.216351436548681,"$11,674","$7,206","$33,309","$33,309",38,38,4,2,38,38,2nd,2nd,92nd,97th,2nd,2nd,0.714285714285714,1.15045238095238,1.0891,71.39%,115.06%,108.90%,22,3,16,44th,94th,61st,22867.9089894606,12149.245,27805.9065253021,26357.3914116486,0.837337966329307,0.459264129664808,"$22,868","$12,149","$27,806","$26,357",29,31,14,19,32,34,28th,23rd,66th,53rd,20th,15th,0.623817892710687,1.04480927157967,1.0495,62.37%,104.50%,104.94%,19,22,15,55th,47th,65th,24121.47128,11129.17,22010.3387917438,21242,1.1291952050032,0.545393019504326,"$24,121","$11,129","$22,010","$21,242",4,5,6,6,6,7,72nd,63rd,54th,54th,54th,45th,0.718875502008032,1.09678074534162,1.085,71.94%,109.67%,108.46%,5,6,6,75th,68th,68th,33703.2191580559,17019.45,37805.2612576448,36526.418282082,0.943443207125437,0.459215224286362,"$33,703","$17,019","$37,805","$36,526",20,37,21,21,24,39,62nd,29th,60th,60th,54th,25th,0.598531097957792,1.03242605591534,1.04,59.84%,103.29%,103.95%,13,16,11,76th,70th,80th
CA,33557.8345646448,15812.17,38043.280413625,34238,0.925849942407049,0.447408940654953,"$33,558","$15,812","$38,043","$34,238",19,41,16,23,33,46,65th,23rd,71st,57th,38th,13th,0.544844727216991,1.01026366691929,1.017,54.45%,100.98%,101.75%,29,29,30,46th,46th,44th,37545.6227852004,17017.54,44769.8906152744,41428.8084346091,0.954927107197843,0.411086488821311,"$37,546","$17,018","$44,770","$41,429",14,22,8,8,13,20,45th,12th,70th,70th,50th,20th,0.476735151933702,0.97024311483402,1,47.63%,97.02%,99.99%,24,23,24,4th,8th,4th,34988.2791916859,18553.39,34033.5905836555,32702,1.07001680975686,0.5469495667295,"$34,988","$18,553","$34,034","$32,702",7,21,3,3,30,34,84th,47th,94th,94th,23rd,13th,0.686225895316805,1.08772463646532,1.0822,68.64%,108.79%,108.24%,28,29,18,28th,26th,55th,26026.8342090741,13132.07,28172.8089128182,26881.5,0.951075884125653,0.489172881935947,"$26,027","$13,132","$28,173","$26,882",20,25,11,16,26,30,51st,38th,74th,61st,35th,25th,0.596715771688051,1.03038619568844,1.04,59.62%,103.07%,103.95%,25,27,19,40th,35th,55th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38771.9819112024,17790.24,46681.6593507074,44417.0206272228,0.888295488389076,0.405419310718708,"$38,772","$17,790","$46,682","$44,417",5,33,4,4,38,48,92nd,37th,94th,94th,27th,7th,0.526281870544166,0.98717172756516,1.014,52.58%,98.67%,101.42%,28,31,28,47th,41st,47th
CO,32267.6812078496,18293.115,40351.4158883452,38922.5870517678,0.861575743818055,0.464291491015453,"$32,268","$18,293","$40,351","$38,923",24,25,9,11,45,44,55th,53rd,84th,80th,15th,17th,0.524714094374614,0.995838496159227,1.012,52.47%,99.55%,101.20%,34,36,34,36th,32nd,36th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33921.0984,23225.88,32429.3385413845,31201.9477841253,1.08660007712111,0.760535533364147,"$33,921","$23,226","$32,429","$31,202",11,2,5,8,29,14,73rd,97th,89th,81st,26th,65th,0.66044776119403,1.05107395437262,1.0578,66.00%,105.16%,105.82%,30,36,32,23rd,7th,18th,27168.0967620928,14401.44,29208.1126431815,29453.9114174623,0.961523323697049,0.507287094571655,"$27,168","$14,401","$29,208","$29,454",15,19,8,7,25,26,64th,53rd,82nd,84th,38th,35th,0.56564177647633,1.00800007444169,1.0321,56.54%,100.76%,103.18%,28,33,27,32nd,20th,35th,,,,,,,,,,,,,,,,,,,,,,,1,1.2284,1.2263,99.99%,122.87%,122.65%,2,2,1,96th,93rd,100th,33417.2608558109,18821.78,41714.3225212368,40230.3699649472,0.847215111108508,0.457590983201428,"$33,417","$18,822","$41,714","$40,230",22,21,12,11,44,40,58th,60th,78th,80th,15th,23rd,0.515770920474575,0.981593734693328,1.0095,51.59%,98.12%,100.98%,30,35,32,43rd,33rd,39th
CT,36457.3385592287,20358.105,41526.1244532877,41645.0656412272,0.934899026213248,0.495557565332136,"$36,457","$20,358","$41,526","$41,645",8,11,7,5,31,36,86th,80th,88th,92nd,42nd,32nd,0.516596492662388,1.09128606794893,1.0105,51.70%,109.12%,101.09%,36,3,35,32nd,96th,34th,34742.322,15013.205,58698.4963938557,65519.4234197938,0.661263743146531,0.233354098463297,"$34,742","$15,013","$58,698","$65,519",18,23,3,2,23,24,29th,8th,91st,95th,8th,4th,0.522522522522523,1.00354272727273,1.00875,52.25%,100.32%,100.87%,17,15,17,33rd,41st,33rd,35820.1749884527,19900.12,29769.1841836771,27905.0248163907,1.23298041888138,0.679341795956747,"$35,820","$19,900","$29,769","$27,905",3,12,12,13,21,26,94th,71st,71st,68th,47th,34th,0.687156421789105,1.08596982492276,1.07465,68.75%,108.57%,107.47%,27,30,24,31st,23rd,39th,28230.0110922588,14657.42,26545.2434012163,25941,1.10166553849904,0.587767549948693,"$28,230","$14,657","$26,545","$25,941",12,17,20,23,18,18,71st,58th,51st,43rd,56th,56th,0.688553459119497,1.06271925323851,1.0669,68.86%,106.26%,106.70%,7,17,6,85th,60th,87th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,36964.6127795108,20475.11,44596.6473248404,43750.2333656308,0.889238050081448,0.472831232982516,"$36,965","$20,475","$44,597","$43,750",10,12,8,6,37,37,82nd,78th,86th,90th,29th,29th,0.47630177401433,0.985391965165307,1,47.63%,98.56%,99.99%,44,32,46,15th,39th,11th
DC,57684.6929409928,29686.38,57658.4213237147,59896,1.15309451124126,0.558339514758152,"$57,685","$29,686","$57,658","$59,896",1,1,1,1,4,17,100th,100th,100th,100th,94th,69th,0.57933110367893,1.02862748091603,1.0395,57.97%,102.85%,103.95%,24,26,16,55th,51st,71st,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47880.7825889742,26731.21,37302.2979685257,32649,1.42876332251814,0.739951778179626,"$47,881","$26,731","$37,302","$32,649",1,1,2,4,3,20,100th,100th,97th,92nd,94th,50th,0.659254807692308,1.07428616023374,1.0684,65.89%,107.47%,106.81%,31,32,27,21st,18th,31st,60368.1221052632,34076.15,51147.8309678369,52462.3215771612,1.17621103885586,0.649535685337162,"$60,368","$34,076","$51,148","$52,462",1,1,1,1,12,10,100th,100th,100th,100th,71st,76th,0.56,1.0759,1.034,55.99%,107.58%,103.40%,31,13,23,25th,70th,45th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,65737.2525404157,32244.69,74643.2522714683,75274.2680332959,0.924508001651691,0.44807778257166,"$65,737","$32,245","$74,643","$75,274",1,1,1,1,27,43,100th,100th,100th,100th,49th,17th,0.514084507042254,0.989682333460706,1.0127,51.37%,99.00%,101.31%,32,28,29,39th,47th,45th
DE,35380.0218216463,19004.685,37481.145005894,35840.1923720308,0.999383058430222,0.506122469615159,"$35,380","$19,005","$37,481","$35,840",10,21,17,17,22,34,82nd,61st,69th,69th,59th,36th,0.601557968011933,1.04272568893439,1.0389,60.17%,104.28%,103.84%,18,18,17,67th,67th,69th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35793.0117942584,19087.78,30174.613452959,31601.9416488059,1.25623262984328,0.64331737724807,"$35,793","$19,088","$30,175","$31,602",4,17,9,7,20,28,92nd,57th,78th,84th,50th,28th,0.698788546255507,1.11826645927602,1.074,69.85%,111.87%,107.36%,24,19,26,39th,52nd,34th,17749.6823076923,10165.44,25074.734179263,26313,0.696128250603271,0.3867833284817,"$17,750","$10,165","$25,075","$26,313",38,38,28,20,39,38,5th,5th,30th,51st,2nd,5th,0.660714285714286,1.08089821428571,1.03265,66.11%,108.13%,103.29%,13,7,25,70th,85th,40th,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35475.373766055,19040.025,38956.1053406982,37634.3671199385,0.951942320655493,0.492388676921817,"$35,475","$19,040","$38,956","$37,634",15,20,18,19,20,30,72nd,62nd,66th,64th,62nd,43rd,0.584427119313135,1.02941119471276,1.0315,58.41%,102.96%,103.18%,16,19,16,70th,64th,70th
FL,34468.8585136184,17811.73,31528.7991704236,30064,1.14055615770007,0.588450200784943,"$34,469","$17,812","$31,529","$30,064",18,29,41,44,5,15,67th,46th,23rd,17th,92nd,73rd,0.655846078737385,1.07333174589614,1.059,65.56%,107.36%,105.93%,7,7,6,88th,88th,90th,29410.3444444444,20646.08,14346,14346,2.05007280387874,1.43915237696919,"$29,410","$20,646","$14,346","$14,346",21,14,24,24,3,3,16th,45th,4th,4th,91st,91st,0.895833333333333,1.125475,1.0887,89.54%,112.53%,108.90%,2,2,3,95th,95th,91st,29879.4742387408,16054.77,23998.2193172642,23067,1.29233736732712,0.688540216689388,"$29,879","$16,055","$23,998","$23,067",23,31,26,27,16,25,42nd,21st,34th,31st,60th,36th,0.752580030237297,1.13576860833862,1.0891,75.24%,113.63%,108.90%,14,9,16,65th,78th,61st,35490.3828269461,17416.78,28558.1362044423,26664,1.27333743638819,0.637528023177597,"$35,490","$17,417","$28,558","$26,664",4,7,10,17,3,13,92nd,84th,76th,58th,94th,69th,0.670361454776167,1.08025830011011,1.0606,66.99%,108.02%,106.04%,11,8,12,75th,82nd,72nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35096.562919251,18305.05,33926.7028367173,32263.5930550195,1.06853316558215,0.556637380191693,"$35,097","$18,305","$33,927","$32,264",17,27,40,41,8,12,68th,49th,23rd,21st,86th,78th,0.633263446151213,1.05962599231993,1.052,63.36%,105.93%,105.16%,5,4,6,92nd,94th,90th
